obiekt_tst;ukryta_decyzja_eksperta;decyzja_klasyfikatora
x1;0.0;0.0
x2;0.0;0.0
x3;1.0;1.0
x4;0.0;0.0
x5;0.0;1.0
x6;1.0;1.0
x7;1.0;1.0
x8;0.0;1.0
x9;1.0;1.0
x10;1.0;0.0
x11;1.0;1.0
x12;1.0;1.0
x13;1.0;1.0
x14;0.0;0.0
x15;0.0;0.0
x16;1.0;1.0
x17;0.0;0.0
x18;0.0;0.0
x19;1.0;1.0
x20;0.0;0.0
x21;0.0;0.0
x22;1.0;1.0
x23;1.0;0.0
x24;1.0;0.0
x25;0.0;1.0
x26;0.0;0.0
x27;0.0;0.0
x28;1.0;1.0
x29;0.0;0.0
x30;0.0;0.0
x31;0.0;0.0
x32;1.0;1.0
x33;1.0;1.0
x34;0.0;0.0
x35;1.0;0.0
x36;0.0;0.0
x37;0.0;0.0
x38;1.0;0.0
x39;1.0;1.0
x40;1.0;1.0
x41;0.0;0.0
x42;0.0;0.0
x43;1.0;1.0
x44;1.0;1.0
x45;0.0;0.0
x46;1.0;1.0
x47;0.0;0.0
x48;0.0;0.0
x49;0.0;0.0
x50;1.0;0.0
x51;0.0;0.0
x52;0.0;0.0
x53;0.0;0.0
x54;1.0;1.0
x55;0.0;0.0
x56;0.0;0.0
x57;1.0;1.0
x58;0.0;0.0
x59;1.0;0.0
x60;1.0;0.0
x61;0.0;0.0
x62;1.0;0.0
x63;0.0;0.0
x64;1.0;1.0
x65;0.0;0.0
x66;1.0;1.0
x67;1.0;1.0
x68;1.0;1.0
x69;1.0;1.0
x70;1.0;1.0
x71;1.0;1.0
x72;1.0;1.0
x73;0.0;0.0
x74;0.0;0.0
x75;1.0;1.0
x76;1.0;1.0
x77;1.0;1.0
x78;0.0;0.0
x79;1.0;1.0
x80;0.0;0.0
x81;0.0;0.0
x82;1.0;1.0
x83;0.0;0.0
x84;0.0;0.0
x85;0.0;0.0
x86;1.0;1.0
x87;1.0;0.0
x88;0.0;0.0
x89;0.0;0.0
x90;0.0;0.0
x91;0.0;0.0
x92;0.0;0.0
x93;1.0;1.0
x94;0.0;0.0
x95;0.0;0.0
x96;0.0;0.0
x97;1.0;0.0
x98;0.0;0.0
x99;0.0;0.0
x100;0.0;0.0
x101;1.0;1.0
x102;0.0;0.0
x103;0.0;0.0
x104;0.0;0.0
x105;1.0;1.0
x106;0.0;0.0
x107;1.0;1.0
x108;0.0;0.0
x109;0.0;0.0
x110;0.0;1.0
x111;0.0;0.0
x112;1.0;1.0
x113;0.0;0.0
x114;0.0;0.0
x115;1.0;0.0
x116;1.0;1.0
x117;0.0;0.0
x118;1.0;1.0
x119;1.0;0.0
x120;0.0;0.0
x121;0.0;0.0
x122;0.0;0.0
x123;0.0;0.0
x124;1.0;0.0
x125;1.0;1.0
x126;1.0;0.0
x127;1.0;0.0
x128;0.0;0.0
x129;0.0;0.0
x130;1.0;0.0
x131;0.0;0.0
x132;1.0;0.0
x133;1.0;1.0
x134;0.0;0.0
x135;1.0;1.0
x136;0.0;0.0
x137;0.0;0.0
x138;0.0;0.0
x139;0.0;0.0
x140;1.0;1.0
x141;0.0;0.0
x142;0.0;0.0
x143;0.0;0.0
x144;0.0;0.0
x145;0.0;0.0
x146;0.0;0.0
x147;0.0;0.0
x148;1.0;1.0
x149;1.0;1.0
x150;1.0;0.0
x151;0.0;0.0
x152;0.0;0.0
x153;1.0;1.0
x154;0.0;0.0
x155;0.0;0.0
x156;0.0;0.0
x157;0.0;0.0
x158;1.0;1.0
x159;0.0;0.0
x160;1.0;1.0
x161;0.0;0.0
x162;0.0;0.0
x163;0.0;0.0
x164;1.0;1.0
x165;1.0;0.0
x166;1.0;1.0
x167;1.0;0.0
x168;1.0;1.0
x169;0.0;0.0
x170;0.0;0.0
x171;1.0;1.0
x172;0.0;0.0
x173;0.0;0.0
x174;1.0;0.0
x175;0.0;0.0
x176;0.0;0.0
x177;1.0;1.0
x178;1.0;0.0
x179;1.0;1.0
x180;0.0;0.0
x181;1.0;1.0
x182;0.0;0.0
x183;0.0;0.0
x184;0.0;0.0
x185;0.0;0.0
x186;1.0;1.0
x187;0.0;0.0
x188;1.0;1.0
x189;0.0;0.0
x190;0.0;0.0
x191;1.0;0.0
x192;1.0;1.0
x193;1.0;1.0
x194;0.0;0.0
x195;0.0;0.0
x196;0.0;0.0
x197;1.0;1.0
x198;0.0;0.0
x199;0.0;0.0
x200;1.0;1.0
x201;1.0;0.0
x202;0.0;1.0
x203;0.0;0.0
x204;0.0;0.0
x205;0.0;0.0
x206;1.0;0.0
x207;0.0;0.0
x208;0.0;0.0
x209;0.0;0.0
x210;1.0;1.0
x211;0.0;0.0
x212;0.0;0.0
x213;1.0;0.0
x214;0.0;0.0
x215;1.0;1.0
x216;1.0;0.0
x217;0.0;0.0
x218;1.0;1.0
x219;0.0;0.0
x220;1.0;1.0
x221;0.0;0.0
x222;0.0;0.0
x223;1.0;1.0
x224;0.0;0.0
x225;0.0;1.0
x226;0.0;0.0
x227;1.0;1.0
x228;0.0;0.0
x229;1.0;0.0
x230;0.0;0.0
x231;1.0;1.0
x232;1.0;0.0
x233;0.0;0.0
x234;0.0;0.0
x235;0.0;0.0
x236;0.0;0.0
x237;0.0;0.0
x238;1.0;0.0
x239;1.0;0.0
x240;1.0;0.0
x241;0.0;0.0
x242;1.0;1.0
x243;0.0;0.0
x244;1.0;0.0
x245;0.0;1.0
x246;1.0;1.0
x247;1.0;1.0
x248;0.0;0.0
x249;0.0;0.0
x250;0.0;1.0
x251;0.0;0.0
x252;1.0;1.0
x253;0.0;0.0
x254;1.0;1.0
x255;1.0;1.0
x256;0.0;0.0
x257;1.0;1.0
x258;0.0;0.0
x259;0.0;0.0
x260;1.0;0.0
x261;1.0;0.0
x262;1.0;0.0
x263;1.0;1.0
x264;0.0;0.0
x265;1.0;0.0
x266;0.0;0.0
x267;0.0;0.0
x268;0.0;1.0
x269;0.0;0.0
x270;1.0;1.0
x271;1.0;1.0
x272;1.0;1.0
x273;0.0;0.0
x274;0.0;0.0
x275;0.0;1.0
x276;0.0;0.0
x277;0.0;0.0
x278;0.0;0.0
x279;0.0;0.0
x280;1.0;0.0
x281;1.0;1.0
x282;0.0;0.0
x283;0.0;0.0
x284;0.0;0.0
x285;0.0;0.0
x286;0.0;0.0
x287;0.0;0.0
x288;1.0;0.0
x289;0.0;0.0
x290;1.0;1.0
x291;0.0;0.0
x292;1.0;1.0
x293;0.0;1.0
x294;0.0;0.0
x295;0.0;0.0
x296;0.0;0.0
x297;0.0;0.0
x298;0.0;0.0
x299;1.0;0.0
x300;0.0;0.0
x301;1.0;1.0
x302;0.0;0.0
x303;1.0;0.0
x304;1.0;1.0
x305;1.0;1.0
x306;1.0;1.0
x307;0.0;0.0
x308;1.0;1.0
x309;0.0;0.0
x310;0.0;0.0
x311;0.0;0.0
x312;1.0;1.0
x313;1.0;1.0
x314;1.0;1.0
x315;1.0;0.0
x316;0.0;0.0
x317;0.0;0.0
x318;0.0;0.0
x319;1.0;0.0
x320;1.0;0.0
x321;0.0;0.0
x322;0.0;0.0
x323;0.0;0.0
x324;1.0;0.0
x325;0.0;0.0
x326;1.0;1.0
x327;0.0;1.0
x328;0.0;0.0
x329;1.0;1.0
x330;0.0;0.0
x331;0.0;0.0
x332;1.0;1.0
x333;1.0;0.0
x334;0.0;0.0
x335;0.0;0.0
x336;0.0;0.0
x337;0.0;0.0
x338;1.0;0.0
x339;1.0;0.0
x340;0.0;0.0
x341;1.0;0.0
x342;0.0;0.0
x343;0.0;0.0
x344;0.0;0.0
x345;1.0;0.0
